,Nombre_Mostrar,Provincia,Población,Puntuación,Factor,PuntuaciónFinal,SumaMunicipiosCercanos,PuntuaciónExtendida
0,San Silvestre de Guzmán,Huelva,642,34.72,1,34.72,0,34.72
1,Arroyomolinos de León,Huelva,924,30.6,1,30.6,0,30.6
2,Sanlúcar de Guadiana,Huelva,419,30.45,1,30.45,0,30.45
3,Cabezas Rubias,Huelva,712,29.14,1,29.14,0,29.14
4,Cortelazor,Huelva,313,27.77,1,27.77,0,27.77
5,Villanueva de las Cruces,Huelva,379,25.48,1,25.48,0,25.48
6,Castaño del Robledo,Huelva,226,25.38,1,25.38,0,25.38
7,Hinojales,Huelva,326,24.31,1,24.31,0,24.31
8,Cañaveral de León,Huelva,382,23.88,1,23.88,0,23.88
9,Berrocal,Huelva,288,23.4,1,23.4,0,23.4
10,Valdelarco,Huelva,236,22.97,1,22.97,0,22.97
11,Puerto Moral,Huelva,280,21.47,1,21.47,0,21.47
12,La Granada de Río-tinto,Huelva,244,20.23,1,20.23,0,20.23
